name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,baseCurrency,quoteCurrency,underlying,restricted,highLeverageFeeExempt,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h
"1INCH-PERP",true,false,0.0001,1,1,2.5801,2.5791,2.5811,2.5801,"future","","","1INCH",false,false,0.008087833085879502,0.05061487091782718,0.044278949285627554,3884611.617,3884611.617
"1INCH-0924",true,false,0.0001,1,1,2.5153,2.5461,2.5655,2.5461,"future","","","1INCH",false,false,0.007638119360455913,0.04588399605652317,0.03935175735804384,18172.6537,18172.6537
"1INCH/USD",true,false,0.0001,1,1,2.5921,2.5812,2.5853,2.5853,"spot","1INCH","USD","",false,true,0.010001172012345197,0.05346155413389837,0.04676492023645639,80984.4426,80984.4426
"AAPL-0924",true,false,0.01,0.01,0.01,139.75,140.45,140.46,140.45,"future","","","AAPL",true,false,0,0.0024982155603140615,0,0,0
"AAPL/USD",true,false,0.01,0.01,0.01,140.2,140.2,140.41,140.2,"spot","AAPL","USD","",true,true,-0.0014956199700876006,-0.0019931662870159455,-0.0019931662870159455,17184.2344,17184.2344
"AAVE-PERP",true,false,0.01,0.01,0.01,277.65,277.32,277.53,277.53,"future","","","AAVE",false,false,0.021081677704194262,0.06081339347144714,0.07042851081883751,29470448.7077,29470448.7077
"AAVE-0924",true,false,0.01,0.01,0.01,279.6,278.51,279.37,279.37,"future","","","AAVE",false,false,0.021350491719372647,0.06313265849760255,0.07367409684857802,229631.8821,229631.8821
"AAVE/USD",true,false,0.01,0.01,0.01,277.49,277.36,277.82,277.49,"spot","AAVE","USD","",false,true,0.02089695007542033,0.059081714438380215,0.07056327160493828,3612010.6185,3612010.6185
"AAVE/USDT",true,false,0.01,0.01,0.01,277.73,277,277.77,277.73,"spot","AAVE","USDT","",false,true,0.02298427198055177,0.06036194257788638,0.07264792213811216,372306.3984,372275.4150615251
"ABNB-0924",true,false,0.005,0.025,0.025,148.85,148.84,151.105,148.85,"future","","","ABNB",true,false,-0.00006717721348918447,-0.005279337075648222,-0.005279337075648222,148.85,148.85
"ABNB/USD",true,false,0.005,0.025,0.025,148.97,148.97,150.35,148.97,"spot","ABNB","USD","",true,true,0,0,-0.00003356267830172848,0,0
"ACB-0924",true,false,0.001,0.1,0.1,8.643,8.622,8.74,8.643,"future","","","ACB",true,false,0,0,0,0,0
"ACB/USD",true,false,0.001,0.1,0.1,8.697,8.641,8.7,8.697,"spot","ACB","USD","",true,true,0,0.006830284788145404,0,829.6938,829.6938
